question_id,match,matches_gestures,correct_matches_speech,participant_id
2,0,0,1,G001
3,0,0,0,G001
4,1,0,0,G001
5,1,0,0,G001
6,0,0,0,G001
7,1,0,0,G001
8,0,0,0,G001
9,0,1,0,G001
10,0,0,0,G001
2,0,0,1,G002
3,0,0,1,G002
4,1,1,1,G002
5,1,1,1,G002
6,0,0,0,G002
7,1,1,1,G002
8,0,0,1,G002
9,0,1,0,G002
10,0,0,1,G002
2,0,0,1,G003
3,0,0,1,G003
4,1,1,1,G003
5,1,1,1,G003
6,0,0,1,G003
7,1,1,1,G003
8,0,0,1,G003
9,0,0,1,G003
10,0,0,1,G003
2,0,0,1,G004
3,0,0,1,G004
4,1,1,1,G004
5,1,1,1,G004
6,0,0,1,G004
7,1,1,1,G004
8,0,0,1,G004
9,0,0,1,G004
10,0,0,1,G004
2,0,0,1,G005
3,0,0,1,G005
4,1,1,1,G005
5,1,1,1,G005
6,0,0,1,G005
7,1,1,1,G005
8,0,0,1,G005
9,0,0,1,G005
10,0,0,1,G005
2,0,0,1,G006
3,0,0,1,G006
4,1,1,1,G006
5,1,1,1,G006
6,0,0,1,G006
7,1,0,1,G006
8,0,0,1,G006
9,0,0,1,G006
10,0,0,1,G006
2,0,0,1,G007
3,0,0,1,G007
4,1,1,1,G007
5,1,1,1,G007
6,0,0,1,G007
7,1,1,1,G007
8,0,0,1,G007
9,0,0,1,G007
10,0,0,1,G007
2,0,0,1,G008
3,0,0,1,G008
4,1,1,1,G008
5,1,1,1,G008
6,0,0,1,G008
7,1,1,1,G008
8,0,0,1,G008
9,0,0,1,G008
10,0,0,1,G008
2,0,0,1,G009
3,0,0,1,G009
4,1,1,1,G009
5,1,1,1,G009
6,0,0,1,G009
7,1,1,1,G009
8,0,0,1,G009
9,0,1,0,G009
10,0,0,1,G009
2,0,0,1,G010
3,0,0,1,G010
4,1,1,1,G010
5,1,1,1,G010
6,0,0,1,G010
7,1,1,1,G010
8,0,0,1,G010
9,0,0,1,G010
10,0,0,1,G010
2,0,0,1,G011
3,0,0,1,G011
4,1,1,1,G011
5,1,1,1,G011
6,0,0,0,G011
7,1,1,1,G011
8,0,0,1,G011
9,0,0,1,G011
10,0,0,1,G011
2,0,0,1,G013
3,0,0,0,G013
4,1,1,1,G013
5,1,1,1,G013
6,0,0,1,G013
7,1,1,1,G013
8,0,0,1,G013
9,0,0,1,G013
10,0,0,1,G013
2,0,0,1,G014
3,0,0,1,G014
4,1,1,1,G014
5,1,1,1,G014
6,0,0,1,G014
7,1,1,1,G014
8,0,0,1,G014
9,0,0,1,G014
10,0,0,1,G014
2,0,0,1,G015
3,0,0,1,G015
4,1,1,1,G015
5,1,1,1,G015
6,0,0,1,G015
7,1,1,1,G015
8,0,0,1,G015
9,0,0,1,G015
10,0,0,1,G015